 * Serving Flask app "run" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
61.158.152.43 - - [29/Jun/2019 00:21:41] "GET /static/assets/img/m2.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:42] "GET /static/assets/js/isotope.pkgd.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:42] "GET /static/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:42] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:43] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:45] "GET /static/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:45] "GET /static/assets/js/jquery.counterup.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:45] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:45] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:46] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:46] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:46] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:46] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/js/main.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/project3.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/project9.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/header-bg-1.jpg HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/contact-icon-2.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/project1.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:47] "GET /static/assets/img/contact-icon-3.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:48] "GET /static/assets/img/contact-icon-1.png HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:51] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:40] "GET /?nsukey=6kH575IQwvkQcKc5%2FugXEbHKjUzQX2UA3RyPZprHbgOIeHAlbfiSV5RHM2rbAb%2F4jGi1UrrGRmMn%2FwbXaloazsps1r5UyDC0d6DrJL4ucTwdWb%2Bq1%2B9KL9bTSNrcoEj5HeVpejDAwIvMD9pi6Upxwg8bNRyxE9mn15mI5SyFaAIy9w03ebcn%2FjPMFRQT448npRNnoO2Y4iBJYQ7TQW4%2B%2FQ%3D%3D HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:40] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:42] "GET /static/assets/js/isotope.pkgd.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:42] "GET /static/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:43] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:43] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:43] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:43] "GET /static/assets/js/jquery.counterup.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:43] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
